epsg,zone
epsg:2759,Alabama East
epsg:2760,Alabama West
epsg:2761,Arizona East
epsg:2762,Arizona Central
epsg:2763,Arizona West
epsg:2764,Arkansas North
epsg:2765,Arkansas South
epsg:2766,California zone 1
epsg:2767,California zone 2
epsg:2768,California zone 3
epsg:2769,California zone 4
epsg:2770,California zone 5
epsg:2771,California zone 6
epsg:2772,Colorado North
epsg:2773,Colorado Central
epsg:2774,Colorado South
epsg:2775,Connecticut
epsg:2776,Delaware
epsg:2777,Florida East
epsg:2778,Florida West
epsg:2779,Florida North
epsg:2780,Georgia East
epsg:2781,Georgia West
epsg:2782,Hawaii zone 1
epsg:2783,Hawaii zone 2
epsg:2784,Hawaii zone 3
epsg:2785,Hawaii zone 4
epsg:2786,Hawaii zone 5
epsg:2787,Idaho East
epsg:2788,Idaho Central
epsg:2789,Idaho West
epsg:2790,Illinois East
epsg:2791,Illinois West
epsg:2792,Indiana East
epsg:2793,Indiana West
epsg:2794,Iowa North
epsg:2795,Iowa South
epsg:2796,Kansas North
epsg:2797,Kansas South
epsg:2798,Kentucky North
epsg:2799,Kentucky South
epsg:2800,Louisiana North
epsg:2801,Louisiana South
epsg:2802,Maine East
epsg:2803,Maine West
epsg:2804,Maryland
epsg:2805,Massachusetts Mainland
epsg:2806,Massachusetts Island
epsg:2807,Michigan North
epsg:2808,Michigan Central
epsg:2809,Michigan South
epsg:2810,Minnesota North
epsg:2811,Minnesota Central
epsg:2812,Minnesota South
epsg:2813,Mississippi East
epsg:2814,Mississippi West
epsg:2815,Missouri East
epsg:2816,Missouri Central
epsg:2817,Missouri West
epsg:2818,Montana
epsg:2819,Nebraska
epsg:2820,Nevada East
epsg:2821,Nevada Central
epsg:2822,Nevada West
epsg:2823,New Hampshire
epsg:2824,New Jersey
epsg:2825,New Mexico East
epsg:2826,New Mexico Central
epsg:2827,New Mexico West
epsg:2828,New York East
epsg:2829,New York Central
epsg:2830,New York West
epsg:2831,New York Long Island
epsg:2832,North Dakota North
epsg:2833,North Dakota South
epsg:2834,Ohio North
epsg:2835,Ohio South
epsg:2836,Oklahoma North
epsg:2837,Oklahoma South
epsg:2838,Oregon North
epsg:2839,Oregon South
epsg:2840,Rhode Island
epsg:2841,South Dakota North
epsg:2842,South Dakota South
epsg:2843,Tennessee
epsg:2844,Texas North
epsg:2845,Texas North Central
epsg:2846,Texas Central
epsg:2847,Texas South Central
epsg:2848,Texas South
epsg:2849,Utah North
epsg:2850,Utah Central
epsg:2851,Utah South
epsg:2852,Vermont
epsg:2853,Virginia North
epsg:2854,Virginia South
epsg:2855,Washington North
epsg:2856,Washington South
epsg:2857,West Virginia North
epsg:2858,West Virginia South
epsg:2859,Wisconsin North
epsg:2860,Wisconsin Central
epsg:2861,Wisconsin South
epsg:2862,Wyoming East
epsg:2863,Wyoming East Central
epsg:2864,Wyoming West Central
epsg:2865,Wyoming West
